City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
104,Vaini,TO,75.36,light rain,-21.2,-175.2,Keleti Beach Resort
107,Majene,ID,77.97,overcast clouds,-3.5403,118.9707,Kost Putri RABBANI
108,Vallenar,CL,81.86,clear sky,-28.5708,-70.7581,Humacao Bed & Breakfast
111,Saint-Philippe,RE,78.39,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
114,Ibicarai,BR,84.18,overcast clouds,-14.865,-39.5875,Pousada Patioba
115,The Valley,AI,85.86,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
116,Atuona,PF,78.75,few clouds,-9.8,-139.0333,Villa Enata
121,Isangel,VU,79.61,moderate rain,-19.55,169.2667,Tanna Lodge
133,Trinidad,BO,84.18,broken clouds,-14.8333,-64.9,Hotel Piesta
138,Aloleng,PH,78.66,broken clouds,16.1307,119.7824,Steve Walden and Emma Sison-Walden Residence
141,Port-Gentil,GA,84.16,scattered clouds,-0.7193,8.7815,Fengshui Residence
145,San Andres,CO,84.22,few clouds,12.5847,-81.7006,Hotel Arena Blanca
148,Sao Raimundo Das Mangabeiras,BR,86.34,broken clouds,-7.0219,-45.4811,Hotel Tropical
153,Waingapu,ID,80.49,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
155,Ocos,GT,88.3,clear sky,14.5094,-92.1933,Auto Hotel El Soñador
160,Alenquer,BR,82.74,overcast clouds,-1.9417,-54.7383,Josilene Castro
170,Punta,PH,75.99,scattered clouds,8.9897,125.34,Vyjannex boarding house
174,Hithadhoo,MV,81.39,overcast clouds,-0.6,73.0833,Scoop Guest House
180,Vanimo,PG,79.07,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
184,Cavalcante,BR,76.51,overcast clouds,-13.7975,-47.4583,Pousada Vila dos Ipês
185,Cap Malheureux,MU,79.29,overcast clouds,-19.9842,57.6142,Pereybere Hotel & Spa
186,Bathsheba,BB,84.81,scattered clouds,13.2167,-59.5167,Atlantis Hotel
198,Chuy,UY,81.73,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
202,Port Blair,IN,79.65,few clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
207,Zemio,CF,84.02,overcast clouds,5.0314,25.1361,OCHA Office
208,Port Hedland,AU,84.25,clear sky,-20.3167,118.5667,The Esplanade Hotel
211,Bloemfontein,ZA,78.28,clear sky,-29.1211,26.214,aha Bloemfontein Hotel
214,Ibotirama,BR,83.52,overcast clouds,-12.1853,-43.2206,Serra do Rio Hotel
240,Kaberamaido,UG,81.19,broken clouds,1.7389,33.1594,"Little Orchard, Kaberamaido"
245,Belmonte,BR,84.2,broken clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
246,Arraial Do Cabo,BR,89.56,scattered clouds,-22.9661,-42.0278,Pousada Porto Praia
249,Vila Do Maio,CV,83.19,scattered clouds,15.1333,-23.2167,Hotel Marilu
252,Souillac,MU,79.18,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
256,Buchanan,LR,87.76,scattered clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
257,Bataipora,BR,81.07,overcast clouds,-22.2953,-53.2711,Hotel Vale do Ivinhema
